id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1614925742835662849,1614925742835662849,2023-01-16 17:01:15 WIB,2023-01-16,17:01:15,+0700,1590922704374272000,sagaranesia,sagaranesia.com,,"Dikenal Smart City, Kota Bandung berikan fasilitas dan infrastruktur lewat Wifi untuk warganya semakin cerdas   #sagaranesia #SmartCity #KotaBandung #Bandung #Wifi #Gratis #WifiGratis #TamanKota  https://t.co/aVhyPlc1Tk",in,[],['https://www.sagaranesia.com/daerah/pr-8596629703/dikenal-smart-city-kota-bandung-berikan-fasilitas-dan-infrastruktur-lewat-wifi-untuk-warganya-semakin-cerdas'],[],0,0,0,"['sagaranesia', 'smartcity', 'kotabandung', 'bandung', 'wifi', 'gratis', 'wifigratis', 'tamankota']",[],https://twitter.com/sagaranesia/status/1614925742835662849,False,,0,,,,,,,,[],,,,
1614895383670390784,1614895383670390784,2023-01-16 15:00:37 WIB,2023-01-16,15:00:37,+0700,1563672504580947968,rickimwt,RickiMwt,,"IKN Kota Hijau dan Kota Cerdas, Pemuda Dukung Penuh IKN Nusantara  #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia  https://t.co/qvAfKT06JD",in,[],[],['https://pbs.twimg.com/media/FmlCyxIXgAMPxQu.jpg'],0,0,0,"['kotaduniauntuksemua', 'iknsejahterakanindonesia', 'iknpemerataanekonomi', 'ikntingkatkankesejahteraan', 'dukungiknnusantara', 'indonesiamaju', 'ibukotabarumendunia']",[],https://twitter.com/rickimwt/status/1614895383670390784,False,,1,https://pbs.twimg.com/media/FmlCyxIXgAMPxQu.jpg,,,,,,,[],,,,
1614893309012619265,1614893309012619265,2023-01-16 14:52:22 WIB,2023-01-16,14:52:22,+0700,1272108072501014529,digoindo,Digo Indonesia,,Pemerintah Kota Bandung berupaya memberikan fasilitas dan infrastruktur bagi warga Kota Bandung untuk semakin cerdas. Salah satu fasilitas yang diberikan adalah menghadirkan wifi di sejumlah ruang publik.   https://t.co/Wn3lUldyk5  #OUR_BOOtamin_day #Bandung #fasilitas,in,[],['https://digo.id/detail-news/pemkot-bandung-tambah-fasilitas-wifi-di-ruang-publik'],[],0,0,1,"['our_bootamin_day', 'bandung', 'fasilitas']",[],https://twitter.com/digoindo/status/1614893309012619265,False,,0,,,,,,,,[],,,,
1614886842570268672,1614886722822889474,2023-01-16 14:26:41 WIB,2023-01-16,14:26:41,+0700,1568549663233708032,hantamanhitam,HantamanHitam,,Kota Cerdas untuk Masa Depan Bangsa  #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia,in,[],[],[],0,0,0,"['kotaduniauntuksemua', 'iknsejahterakanindonesia', 'iknpemerataanekonomi', 'ikntingkatkankesejahteraan', 'dukungiknnusantara', 'indonesiamaju', 'ibukotabarumendunia']",[],https://twitter.com/HantamanHitam/status/1614886842570268672,False,,0,,,,,,,,[],,,,
1614870185915154433,1614870185915154433,2023-01-16 13:20:29 WIB,2023-01-16,13:20:29,+0700,2503106840,mariodelfonso,Oabat Paracetamol,,"IKN Kota Hijau dan Kota Cerdas, Pemuda Dukung Penuh IKN Nusantara #KotaDuniaUntukSemua #IKNSejahterakanIndonesia #IKNPemerataanEkonomi #IKNtingkatkanKesejahteraan #DukungIKNNusantara #IndonesiaMaju #IbukotaBaruMendunia  https://t.co/VyIs66CSIL",in,[],[],['https://pbs.twimg.com/media/Fmkr4EJXwAIzy1n.jpg'],0,0,0,"['kotaduniauntuksemua', 'iknsejahterakanindonesia', 'iknpemerataanekonomi', 'ikntingkatkankesejahteraan', 'dukungiknnusantara', 'indonesiamaju', 'ibukotabarumendunia']",[],https://twitter.com/mariodelfonso/status/1614870185915154433,False,,1,https://pbs.twimg.com/media/Fmkr4EJXwAIzy1n.jpg,,,,,,,[],,,,
1614869765708992512,1614523588845146115,2023-01-16 13:18:49 WIB,2023-01-16,13:18:49,+0700,1004481606302646272,wiyonohw,Wiyono Hw,,"@abuyasalha2 @aniesbaswedan Semarang masih banyak lahan kosong yg bisa di jadikan hutan kota. Jika pemerintah cerdas dan konsisten,  banjir bisa di tanggulangi.",in,[],[],[],1,0,1,[],[],https://twitter.com/WiyonoHw/status/1614869765708992512,False,,0,,,,,,,,"[{'screen_name': 'abuyasalha2', 'name': 'Masyumi071145', 'id': '1434455521633849346'}, {'screen_name': 'aniesbaswedan', 'name': 'Anies Rasyid Baswedan', 'id': '110312278'}]",,,,
1614829789646565377,1614829789646565377,2023-01-16 10:39:58 WIB,2023-01-16,10:39:58,+0700,1577677080195584000,beritantt3,BeritaNTT,,IKN Nusantara membawa kemajuan di bidang digital. Kota Cerdas yang menggunakan teknologi digital untuk meningkatkan performance-nya untuk terlibat lebih aktif dan efektif dengan warganya.  #IbukotaNegara #IKN #SemangatNusantara  https://t.co/JRknRmeNEh,in,[],[],[],10,5,107,"['ibukotanegara', 'ikn', 'semangatnusantara']",[],https://twitter.com/BeritaNTT3/status/1614829789646565377,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1614829722197983232/pu/img/CZaNy6PwEkFO4Uo1.jpg,,,,,,,[],,,,
1614824662424518658,1614808595727806464,2023-01-16 10:19:36 WIB,2023-01-16,10:19:36,+0700,1451142491562856453,gitarherooo,Sponsman,,"@yusufgunawan Nah ini, misal untuk kajoetangan didesain dengan arsitektur Belanda maka bisa membentuk branding tersendiri bukan niru kota lain, kayak Bandung, Semarang dsb yg memiliki branding berbeda2, ancen cerdas tenan pemkot iki",in,[],[],[],1,1,2,[],[],https://twitter.com/gitarherooo/status/1614824662424518658,False,,0,,,,,,,,"[{'screen_name': 'yusufgunawan', 'name': 'Yusuf Gunawan', 'id': '78619866'}]",,,,
1614744486013464576,1614744486013464576,2023-01-16 05:01:00 WIB,2023-01-16,05:01:00,+0700,1330720069211410433,deztrontech,Deztron Technology,,"Deztron Technology adalah produk teknologi terdepan dan bergaransi yang hemat dan cerdas untuk membuat anda lebih bahagia . . 📌 Jl. T. Nyak Arief No.17-20, Jeulingke, Kec. Syiah Kuala, Kota Banda Aceh. 📞 0823-7077-6094 📧 deztrontechnologi@gmail.com ✔️  https://t.co/kt0biCqsyO  https://t.co/iQfwtbO1O8",in,[],['http://www.deztron.com'],['https://pbs.twimg.com/media/Fmi5jM5acAA3c9R.jpg'],0,0,0,[],[],https://twitter.com/DeztronTech/status/1614744486013464576,False,,1,https://pbs.twimg.com/media/Fmi5jM5acAA3c9R.jpg,,,,,,,[],,,,
1614691670846771201,1614691670846771201,2023-01-16 01:31:08 WIB,2023-01-16,01:31:08,+0700,1330720069211410433,deztrontech,Deztron Technology,,"Deztron Technology adalah produk teknologi terdepan dan bergaransi yang hemat dan cerdas untuk membuat anda lebih bahagia . . 📌 Jl. T. Nyak Arief No.17-20, Jeulingke, Kec. Syiah Kuala, Kota Banda Aceh. 📞 0823-7077-6094 📧 deztrontechnologi@gmail.com ✔️  https://t.co/kt0biCqsyO  https://t.co/tkdPsPZNR4",in,[],['http://www.deztron.com'],['https://pbs.twimg.com/media/FmiJhCZagAAZIIJ.jpg'],0,0,0,[],[],https://twitter.com/DeztronTech/status/1614691670846771201,False,,1,https://pbs.twimg.com/media/FmiJhCZagAAZIIJ.jpg,,,,,,,[],,,,
